"canonical_key","location","district","town","level"
"adjumani:elegu","Elegu","Adjumani","Arinyapi","parish"
"agago:bombo","Bombo","Agago","Kuywee","parish"
"agago:luzira","Luzira","Agago","Lokole","parish"
"amudat:senior quarters","Senior Quarters","Amudat","Karita","neighborhood"
"amuru:kololo","Kololo","Amuru","Lakang","parish"
"amuru:luzira","Luzira","Amuru","Pabbo","neighborhood"
"budaka:kavule","Kavule","Budaka","Kakoli","parish"
"budaka:mutukula","Mutukula","Budaka","Kabuna","parish"
"bugiri:kavule","Kavule","Bugiri","Buwunga","parish"
"bugiri:kololo","Kololo","Bugiri","Mayuge","neighborhood"
"bugiri:nakawa","Nakawa","Bugiri","Busowa","neighborhood"
"buikwe:bukasa","Bukasa","Buikwe","Nkokonjeru","neighborhood"
"bukedea:kakira","Kakira","Bukedea","Komuge","parish"
"bulambuli:gombe","Gombe","Bulambuli","Lusha","parish"
"bulambuli:kavule","Kavule","Bulambuli","Bulegeni","neighborhood"
"bulambuli:kisenyi","Kisenyi","Bulambuli","Kamu","parish"
"buliisa:kigungu","Kigungu","Buliisa","Biiso","neighborhood"
"buliisa:walukuba","Walukuba","Buliisa","Butiaba","parish"
"bundibugyo:bukonzo","Bukonzo","Bundibugyo","Bukonzo","subcounty"
"bushenyi:bwera","Bwera","Bushenyi","Kyeizooba","parish"
"bushenyi:kakira","Kakira","Bushenyi","Bitooma","parish"
"buvuma:lubya","Lubya","Buvuma","Lubya","parish"
"gomba:nkoma","Nkoma","Gomba","Mpenja","parish"
"gulu:kuru","Kuru","Gulu","Omel","parish"
"hoima:bombo","Bombo","Hoima","Bombo","subcounty"
"hoima:kibingo","Kibingo","Hoima","Hoima West","neighborhood"
"iganga:mutukula","Mutukula","Iganga","Northern","neighborhood"
"isingiro:bugongi","Bugongi","Isingiro","Nyakitunda","parish"
"isingiro:katanga","Katanga","Isingiro","Kikagate","neighborhood"
"isingiro:kihiihi","Kihiihi","Isingiro","Nyakitunda","parish"
"kagadi:katalemwa","Katalemwa","Kagadi","Nyakarongo","parish"
"kagadi:ngoma","Ngoma","Kagadi","Bwikara","parish"
"kampala:mutungo","Mutungo","Kampala","Nakawa","parish"
"kamuli:kakira","Kakira","Kamuli","Magogo","parish"
"kamuli:kibuye","Kibuye","Kamuli","Kagumba","parish"
"kamwenge:mpanga","Mpanga","Kamwenge","Kahunge","parish"
"kamwenge:nkoma","Nkoma","Kamwenge","Nkoma","subcounty"
"kanungu:bugongi","Bugongi","Kanungu","Bugongi","subcounty"
"kasese:kisenyi","Kisenyi","Kasese","Hima","neighborhood"
"kayunga:kavule","Kavule","Kayunga","Bbaale","parish"
"kayunga:nakivubo","Nakivubo","Kayunga","Kitimbwa","parish"
"kayunga:nkokonjeru","Nkokonjeru","Kayunga","Kitimbwa","parish"
"kibaale:kibingo","Kibingo","Kibaale","Bwamiramira","parish"
"kikuube:buhaguzi","Buhaguzi","Kikuube","Buhaguzi","county"
"kikuube:katanga","Katanga","Kikuube","Bugambe","parish"
"kikuube:kavule","Kavule","Kikuube","Kyangwali Rsc","parish"
"kitagwenda:bwera","Bwera","Kitagwenda","Kicheche","parish"
"kyankwanzi:banda","Banda","Kyankwanzi","Banda","parish"
"kyankwanzi:kalagi","Kalagi","Kyankwanzi","Masodde-Kalagi","neighborhood"
"kyankwanzi:nakivubo","Nakivubo","Kyankwanzi","Kisala","parish"
"kyegegwa:kibuye","Kibuye","Kyegegwa","Kyegegwa","parish"
"luuka:namulanda","Namulanda","Luuka","Bukooma","parish"
"lwengo:kalisizo","Kalisizo","Lwengo","Lwengo","parish"
"lwengo:mpumudde","Mpumudde","Lwengo","Ndagwe","parish"
"lyantonde:mpumudde","Mpumudde","Lyantonde","Mpumudde","parish"
"mayuge:kavule","Kavule","Mayuge","Mayuge","neighborhood"
"mbarara:kibingo","Kibingo","Mbarara","Kagongi","parish"
"mitooma:bwera","Bwera","Mitooma","Kanyabwanga","parish"
"mitooma:sanga","Sanga","Mitooma","Rutookye","neighborhood"
"mpigi:kavule","Kavule","Mpigi","Kiringente","parish"
"mpigi:kololo","Kololo","Mpigi","Kiringente","parish"
"mubende:kabubbu","Kabubbu","Mubende","Kibalinga","parish"
"mukono:bukasa","Bukasa","Mukono","Kimenyedde","parish"
"nakasongola:kalongo","Kalongo","Nakasongola","Kalongo","subcounty"
"nakasongola:kyambogo","Kyambogo","Nakasongola","Kakooge","parish"
"nakasongola:wabigalo","Wabigalo","Nakasongola","Wabinyonyi","parish"
"namayingo:banda","Banda","Namayingo","Banda","subcounty"
"namutumba:kisenyi","Kisenyi","Namutumba","Bulange","parish"
"napak:kololo","Kololo","Napak","Matany","neighborhood"
"napak:senior quarters","Senior Quarters","Napak","Kangole","neighborhood"
"ntoroko:katanga","Katanga","Ntoroko","Kanara","parish"
"ntungamo:kakiika","Kakiika","Ntungamo","Nyamunuka","neighborhood"
"ntungamo:kibingo","Kibingo","Ntungamo","Nyakyera","neighborhood"
"ntungamo:ngoma","Ngoma","Ntungamo","Ngoma","subcounty"
"rakai:kakiri","Kakiri","Rakai","Kacheera","parish"
"rukungiri:ngoma","Ngoma","Rukungiri","Nyakishenyi","parish"
"rwampara:kibingo","Kibingo","Rwampara","Rweibogo-Kibingo","neighborhood"
"rwampara:ngoma","Ngoma","Rwampara","Kabura","neighborhood"
"serere:kololo","Kololo","Serere","Kasilo","neighborhood"
"sironko:gombe","Gombe","Sironko","Bukyabo","parish"
"sironko:kisenyi","Kisenyi","Sironko","Mutufu","neighborhood"
"sironko:kyambogo","Kyambogo","Sironko","Bukyabo","parish"
"sironko:namulanda","Namulanda","Sironko","Bumalimba","parish"
"soroti:senior quarters","Senior Quarters","Soroti","Soroti West","neighborhood"
"wakiso:bukasa","Bukasa","Wakiso","Wakiso","parish"
"wakiso:gombe","Gombe","Wakiso","Gombe","neighborhood"
"wakiso:kasenge","Kasenge","Wakiso","Kyengera","neighborhood"
"wakiso:kitiko","Kitiko","Wakiso","Makindye-Ssabagabo","area"
"wakiso:kyampisi","Kyampisi","Wakiso","Namayumba","neighborhood"
"wakiso:mutundwe","Mutundwe","Wakiso","Bunamwaya","neighborhood"
"wakiso:nalumunye","Nalumunye","Wakiso","Kyengera","area"
"yumbe:luzira","Luzira","Yumbe","Lodonga","neighborhood"
